10dacb	10-Deacetylbaccatin III
10dacdbb	10-Deacetyl-2-debenzoylbaccatin III
10dmthmcn	10-Deoxymethymycin
10dmthnld	10-Deoxymethynolide
10fdhf	10-Formyldihydrofolate
10fthf	10-Formyltetrahydrofolate
10fthf5glu	10-formyltetrahydrofolate-[Glu](5)
10fthf6glu	10-formyltetrahydrofolate-[Glu](6)
10fthf7glu	10-formyltetrahydrofolate-[Glu](7)
10fthfglu_L	10-Formyl-THF-L-glutamate
10hdhsngnrn	10-Hydroxydihydrosanguinarine
10hocdca	(R)-10-Hydroxystearate
10m3hddcaACP	10-methyl-3-hydroxy-dodecanoyl-ACP
10m3hundecACP	10-methyl-3-hydroxy-undecanoyl-ACP
10m3oddcaACP	10-methyl-3-oxo-dodecanoyl-ACP
10m3oundecACP	10-methyl-3-oxo-undecanoyl-ACP
10mddcaACP	10-methyl-dodecanoyl-ACP
10mtddec2eACP	10-methyl-trans-dodec-2-enoyl-ACP
10mtundec2eACP	10-methyl-trans-undec-2-enoyl-ACP
10mundecACP	10-methyl-undecanoyl-ACP
11_cis_retfa	fatty acid 11-cis-retinol
11docrtsl	11-deoxycortisol
11docrtstrn	11-deoxycorticosterone
11m3hddcaACP	11-methyl-3-hydroxy-dodecanoyl-ACP
11m3oddcaACP	11-methyl-3-oxo-dodecanoyl-ACP
11mddcaACP	11-methyl-dodecanoyl-ACP
11mtddec2eACP	11-methyl-trans-dodec-2-enoyl-ACP
11od17odeacvind	11-O-Demethyl-17-O-deacetylvindoline
12acndl	1,2-Anthracenediol
12bishp4ppl	1,2-Bis(4-hydroxyphenyl)-2-propanol
12d4mch35d1c	cis-1,2-Dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate
12daihdglyc	1,2-Dianteisoheptadecanoyl-sn-glycerol
12daipdglyc	1,2-Dianteisopentadecanoyl-sn-glycerol
12dgr_HP	1,2-Diacylglycerol Hp specific
12dgr_LLA	1_2_diacylglycerol__lactis_specific_
12dgr120	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)
12dgr140	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)
12dgr141	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)
12dgr160	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)
12dgr161	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)
12dgr180	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)
12dgr181	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)
12dgr2_ST	Membrane 1,2-diacylglycerol mixture
12dhchol	12-Dehydrocholate
12dhnp12d	cis-1,2-Dihydronaphthalene-1,2-diol
12dhrtclnm	1,2-Dehydroreticulinium
12dhtc	12-Dehydrotetracycline
12dihdglyc	1,2-Diisoheptadecanoyl-sn-glycerol
12dipdglyc	1,2-Diisopentadecanoyl-sn-glycerol
12ditdglyc	1,2-Diisotetradecanoyl-sn-glycerol
12dixdglyc	1,2-Diisohexadecanoyl-sn-glycerol
12dvmln	1,2-Dihydrovomilenine
12ethd	1,2-Ethanediol
12glcglcur	1,2-beta-D-Glucuronosyl-D-glucuronate
12harachd	12 hydroxy arachidonic acid
12HPET	12-Hydroperoxyeicosa-5,8,10,14-tetraenoate
12htacr	12-HT or M-VI, 12-hydroxy tacrolimus
12m3hmyrsACP	12-methyl-3-hydroxy-tetra-decanoyl-ACP
12m3htridecACP	12-methyl-3-hydroxy-tridecanoyl-ACP
12m3omyrsACP	12-methyl-3-oxo-tetra-decanoyl-ACP
12m3otridecACP	12-methyl-3-oxo-tridecanoyl-ACP
12mmyrsACP	12-methyl-tetra-decanoyl-ACP
12mtmrs2eACP	12-methyl-trans-tetra-dec-2-enoyl-ACP
12mtridecACP	12-methyl-tridecanoyl-ACP
12mttritec2eACP	12-methyl-trans-tridec-2-enoyl-ACP
12npthldl	1,2-Naphthalenediol
12ppd_R	(R)-propane-1,2-diol
12ppd_S	(S)-propane-1,2-diol
12RHPET	12R-Hydroperoxyeicosatetraenoate
13_cis_oretn	13-cis-oxo-retinoic acid
13_cis_retn	13-cis-retinoate
13_cis_retnglc	13-cis-retinoyl glucuronide
1331tacr	13,31-O-Didesmethyl-tacrolimus
13dampp	trimethylenediaminium
13dmt	13-O-desmethyl tacrolimus, 13-DMT or M-I
13dmxnthn	1,3-Dimethylxanthine
13dpg	3-Phospho-D-glyceroyl phosphate
13m3hmyrsACP	13-methyl-3-hydroxy-tetra-decanoyl-ACP
13m3omyrsACP	13-methyl-3-oxo-tetra-decanoyl-ACP
13mmyrsACP	13-methyl-tetra-decanoyl-ACP
13mtmrs2eACP	13-methyl-trans-tetra-dec-2-enoyl-ACP
13ppd	Propane-1,3-diol
13shpoddnt	13S-Hydroperoxy-9Z,11E-octadecadienoic acid
14bdc	1,4-Benzenedicarboxylic acid
14dgndnbtn	1,4-Diguanidinobutane
14glucan	1,4-alpha-D-glucan
14hmdz	1,4-Dihydroxy-midazolam
14hphe2maoh	1-(4-Hydroxyphenyl)-2-(methylamino)ethanol
14lctn	1,4-Lactone
14m3hpalmACP	14-methyl-3-hydroxy-hexa-decanoyl-ACP
14m3hpentdecACP	14-methyl-3-hydroxy-pentadecanoyl-ACP
14m3opalmACP	14-methyl-3-oxo-hexa-decanoyl-ACP
14m3opentdecACP	14-methyl-3-oxo-pentadecanoyl-ACP
14mpalmACP	14-methyl-hexa-decanoyl-ACP
14mpentdecACP	14-methyl-pentadecanoyl-ACP
14mtpalm2eACP	14-methyl-trans-hexa-dec-2-enoyl-ACP
14mtpentdec2eACP	14-methyl-trans-pentadec-2-enoyl-ACP
1513tacr	13,15-O-didesmethyl tacrolimus
1531tacr	15, 31-O-Didesmethyl-tacrolimus
15ahgtl	1,5-Anhydroglucitol
15anhfruc	1,5-Anhydro-D-fructose
15dap	1,5-Diaminopentane
15dmt	15-DMT or M-III, 15-O-desmethyl tacrolimus
15HPET	15(S)-HPETE(1-)
15kprostgf2	15-Keto-Prostaglandin F2A
15m3hpalmACP	15-methyl-3-hydroxy-hexa-decanoyl-ACP
